Geography,Cases
"Bonneville County, Idaho",67.0
"Boundary County, Idaho",1.0
"Butte County, Idaho",0.0
"Camas County, Idaho",0.0
"Canyon County, Idaho",163.0
"Caribou County, Idaho",1.0
"Cassia County, Idaho",16.0
"Clark County, Idaho",0.0
"Clearwater County, Idaho",5.0
"Custer County, Idaho",0.0
"Elmore County, Idaho",14.0
"Franklin County, Idaho",0.0
"Fremont County, Idaho",1.0
"Gem County, Idaho",3.0
"Gooding County, Idaho",5.0
"Idaho County, Idaho",1.0
"Jefferson County, Idaho",11.0
"Jerome County, Idaho",7.0
"Kootenai County, Idaho",120.0
"Latah County, Idaho",14.0
"Lemhi County, Idaho",0.0
"Lewis County, Idaho",0.0
"Lincoln County, Idaho",2.0
"Madison County, Idaho",2.0
"Minidoka County, Idaho",11.0
"Nez Perce County, Idaho",21.0
"Oneida County, Idaho",1.0
"Owyhee County, Idaho",3.0
"Payette County, Idaho",15.0
"Power County, Idaho",4.0
"Shoshone County, Idaho",1.0
"Teton County, Idaho",1.0
"Twin Falls County, Idaho",42.0
"Valley County, Idaho",2.0
"Washington County, Idaho",3.0
"Adams County, Illinois",96.0
"Alexander County, Illinois",13.0
"Bond County, Illinois",13.0
"Boone County, Illinois",28.0
"Brown County, Illinois",3.0
"Bureau County, Illinois",12.0
"Calhoun County, Illinois",2.0
"Carroll County, Illinois",1.0
"Cass County, Illinois",12.0
"Champaign County, Illinois",561.0
"Christian County, Illinois",29.0
"Clark County, Illinois",9.0
"Clay County, Illinois",20.0
"Clinton County, Illinois",15.0
"Coles County, Illinois",125.0
"Cook County, Illinois",0.0
"Crawford County, Illinois",15.0
"Cumberland County, Illinois",12.0
"Dekalb County, Illinois",165.0
"De Witt County, Illinois",5.0
"Douglas County, Illinois",9.0
"Dupage County, Illinois",548.0
"Edgar County, Illinois",37.0
"Edwards County, Illinois",2.0
"Effingham County, Illinois",26.0
"Fayette County, Illinois",6.0
"Ford County, Illinois",11.0
"Franklin County, Illinois",68.0
"Fulton County, Illinois",35.0
"Gallatin County, Illinois",3.0
"Greene County, Illinois",5.0
"Grundy County, Illinois",23.0
"Hamilton County, Illinois",2.0
"Hancock County, Illinois",13.0
"Hardin County, Illinois",3.0
"Henderson County, Illinois",9.0
"Henry County, Illinois",25.0
"Iroquois County, Illinois",15.0
"Jackson County, Illinois",211.0
"Jasper County, Illinois",10.0
"Jefferson County, Illinois",51.0
"Jersey County, Illinois",9.0
"Jo Daviess County, Illinois",12.0
"Johnson County, Illinois",9.0
"Kane County, Illinois",393.0
"Kankakee County, Illinois",211.0
"Kendall County, Illinois",95.0
"Knox County, Illinois",62.0
"Lake County, Illinois",578.0
"Lasalle County, Illinois",57.0
"Lawrence County, Illinois",9.0
"Lee County, Illinois",11.0
"Livingston County, Illinois",13.0
"Logan County, Illinois",59.0
"Mcdonough County, Illinois",53.0
"Mchenry County, Illinois",105.0
"Mclean County, Illinois",221.0
"Macon County, Illinois",587.0
"Macoupin County, Illinois",56.0
"Madison County, Illinois",505.0
"Marion County, Illinois",68.0
"Marshall County, Illinois",7.0
"Mason County, Illinois",16.0
"Massac County, Illinois",14.0
"Menard County, Illinois",9.0
"Mercer County, Illinois",5.0
"Monroe County, Illinois",15.0
"Montgomery County, Illinois",38.0
"Morgan County, Illinois",57.0
"Moultrie County, Illinois",9.0
"Ogle County, Illinois",21.0
"Peoria County, Illinois",735.0
"Perry County, Illinois",20.0
"Piatt County, Illinois",17.0
"Pike County, Illinois",5.0
"Pope County, Illinois",2.0
"Pulaski County, Illinois",23.0
"Putnam County, Illinois",3.0
"Randolph County, Illinois",35.0
"Richland County, Illinois",27.0
"Rock Island County, Illinois",313.0
"St. Clair County, Illinois",896.0
"Saline County, Illinois",31.0
"Sangamon County, Illinois",731.0
"Schuyler County, Illinois",8.0
"Scott County, Illinois",3.0
"Shelby County, Illinois",20.0
"Stark County, Illinois",1.0
"Stephenson County, Illinois",108.0
"Tazewell County, Illinois",122.0
"Union County, Illinois",12.0
"Vermilion County, Illinois",329.0
"Wabash County, Illinois",2.0
"Warren County, Illinois",7.0
"Washington County, Illinois",5.0
"Wayne County, Illinois",20.0
"White County, Illinois",8.0
"Whiteside County, Illinois",23.0
"Will County, Illinois",626.0
"Williamson County, Illinois",96.0
"Winnebago County, Illinois",726.0
"Woodford County, Illinois",16.0
"Adams County, Indiana",14.0
"Allen County, Indiana",773.0
"Bartholomew County, Indiana",69.0
"Benton County, Indiana",9.0
"Blackford County, Indiana",8.0
"Boone County, Indiana",32.0
"Brown County, Indiana",8.0
"Carroll County, Indiana",10.0
"Cass County, Indiana",24.0
"Clark County, Indiana",193.0
"Clay County, Indiana",51.0
"Clinton County, Indiana",36.0
"Crawford County, Indiana",6.0
"Daviess County, Indiana",14.0
"Dearborn County, Indiana",17.0
"Decatur County, Indiana",12.0
"Dekalb County, Indiana",33.0
"Delaware County, Indiana",240.0
"Dubois County, Indiana",22.0
"Elkhart County, Indiana",340.0
"Fayette County, Indiana",24.0
"Floyd County, Indiana",92.0
"Fountain County, Indiana",13.0
"Franklin County, Indiana",6.0
"Fulton County, Indiana",5.0
"Gibson County, Indiana",31.0
"Grant County, Indiana",127.0
"Greene County, Indiana",24.0
"Hamilton County, Indiana",217.0
"Hancock County, Indiana",60.0
"Harrison County, Indiana",24.0
"Hendricks County, Indiana",134.0
"Henry County, Indiana",41.0
"Howard County, Indiana",136.0
